snapshot_t,lookbacktime,Rcenters,nparticles,amp1,amp2,phase1,phase2
624.0,5.9365639909968575,24.5,252.0,6.332623421652249e-14,1.3544502528266846e-14,1.5031629074591442,-0.18904368806179198
624.0,5.9365639909968575,25.5,252.0,5.94177869867771e-14,1.2138911062787039e-14,1.553392528177858,0.02999226659363985
624.0,5.9365639909968575,26.5,244.0,5.562090861459172e-14,9.467208240589712e-15,1.6212170877734056,0.3260499924162868
624.0,5.9365639909968575,27.5,260.0,5.3637747788922046e-14,1.0350200268850232e-14,1.6230024061281851,0.36866051586620907
624.0,5.9365639909968575,28.5,280.0,6.009745121556205e-14,1.0065415225837798e-14,1.7447589996331947,0.8398494244509203
624.0,5.9365639909968575,29.5,300.0,6.399550143147608e-14,1.1976775366902791e-14,1.8179604626171102,1.308261636837587
624.0,5.9365639909968575,30.5,284.0,5.833233464113019e-14,1.0753898625301048e-14,1.8598917154141303,1.5743102342400457
624.0,5.9365639909968575,31.5,292.0,5.214771267640064e-14,9.338587759329225e-15,1.8697299019678695,1.6484606767343442
624.0,5.9365639909968575,32.5,316.0,5.812939474629226e-14,1.5288194424930286e-14,1.9574420355770017,1.9949002566339773
624.0,5.9365639909968575,33.5,324.0,5.762732077137276e-14,1.832830241054693e-14,2.028145317129038,2.1861346836971283
624.0,5.9365639909968575,34.5,324.0,5.5554414661408115e-14,2.039865212244113e-14,2.063552409038508,2.271287768332347
624.0,5.9365639909968575,35.5,348.0,5.275119539426329e-14,2.321204865258398e-14,2.0814929374203412,2.417305894276229
624.0,5.9365639909968575,36.5,352.0,5.217685559512835e-14,2.55102749104821e-14,2.147028073540443,2.474687024924743
624.0,5.9365639909968575,37.5,372.0,5.6834943570990154e-14,2.963571933440256e-14,2.17382679362878,2.444113311855265
624.0,5.9365639909968575,38.5,372.0,5.3628421045363896e-14,3.1035465274019685e-14,2.193986747861422,2.4411589781114964
624.0,5.9365639909968575,39.5,340.0,4.349670102318684e-14,2.907706989109285e-14,2.2242227310153067,2.4457920338097856
626.0,5.894811696137233,0.5,4.0,7.306897210103747e-15,1.7983425969140403e-15,2.262244603268459,-1.5707963267948963
626.0,5.894811696137233,1.5,12.0,4.1124237046772554e-14,3.569020032471671e-15,2.372684909846796,-2.4249929507428902
626.0,5.894811696137233,2.5,28.0,8.78778442695464e-14,2.46380739089067e-15,2.285777929830701,-2.108283147799156
626.0,5.894811696137233,3.5,36.0,8.780053047952746e-14,4.189904297438239e-15,2.239792261266128,-2.8273459187218744
626.0,5.894811696137233,4.5,40.0,8.127922601234046e-14,6.144557929055004e-15,2.1943457894203684,2.7110554477114888
626.0,5.894811696137233,5.5,52.0,8.295158716962e-14,7.992349556537742e-15,2.2097579727792755,2.83683638488428
626.0,5.894811696137233,6.5,68.0,8.31769206732911e-14,8.284771382112348e-15,2.1856205281267704,2.6903156358634353
626.0,5.894811696137233,7.5,68.0,6.758322866376756e-14,4.601870941693299e-15,2.0822109334419743,2.260590688707258
626.0,5.894811696137233,8.5,84.0,6.976686157725218e-14,3.117062959063315e-15,1.9979399796184603,1.5384029070352192
626.0,5.894811696137233,9.5,92.0,6.175777784486181e-14,5.008509496427681e-15,1.9181401468921497,1.01276744502098
626.0,5.894811696137233,10.5,100.0,5.2188811887670254e-14,9.49964084766294e-15,1.8168439339753846,0.7177298088782003
626.0,5.894811696137233,11.5,108.0,4.6168845041237635e-14,1.3927203951623757e-14,1.762523189726328,0.9027777463547055
626.0,5.894811696137233,12.5,120.0,4.588455605049581e-14,1.654247873653124e-14,1.650038430036811,0.9177201306323413
626.0,5.894811696137233,13.5,124.0,4.235092641675485e-14,1.6542909451006305e-14,1.5549116244965533,0.9462364530129591
626.0,5.894811696137233,14.5,156.0,4.8954834507889095e-14,1.978971190730584e-14,1.3689396122119328,0.7864157166188926
626.0,5.894811696137233,15.5,132.0,3.80858577316823e-14,1.879089759860107e-14,1.142031019810623,0.7366101739709422
626.0,5.894811696137233,16.5,172.0,5.057903790072347e-14,2.6912616248676433e-14,1.0126673272139248,0.8076560896115539
626.0,5.894811696137233,17.5,164.0,4.862895952186099e-14,2.5866186232523987e-14,0.9613240868340405,0.8255661285194551
626.0,5.894811696137233,18.5,188.0,5.536223471262636e-14,2.5883085772121532e-14,0.9280737460219031,0.8038619582098462
626.0,5.894811696137233,19.5,180.0,5.192114425276477e-14,2.4652316618679435e-14,0.8420727823610911,0.6137598397756736
626.0,5.894811696137233,20.5,200.0,5.791564589679423e-14,2.370039371400598e-14,0.8904500757553426,0.8269952286072254
626.0,5.894811696137233,21.5,204.0,5.4791690952513967e-14,2.1005186211003874e-14,0.9440497819999715,0.6087251702002899
626.0,5.894811696137233,22.5,196.0,4.8659217774490914e-14,1.796504054104382e-14,0.9776647760244196,0.4300811397525968
626.0,5.894811696137233,23.5,228.0,5.3835189541697495e-14,2.1728476322035055e-14,0.9296880259142951,0.27040174470654305
626.0,5.894811696137233,24.5,252.0,5.616150476945846e-14,1.9183535642463e-14,1.0703130457657475,0.3218053914803076
626.0,5.894811696137233,25.5,252.0,5.200766302360585e-14,1.8189935696374895e-14,1.1746808369946589,0.40951171226514405
626.0,5.894811696137233,26.5,244.0,4.678738713591304e-14,1.6370416741946244e-14,1.2698245356788023,0.5856296610725126
626.0,5.894811696137233,27.5,260.0,4.3772972864858396e-14,1.644392719331413e-14,1.2578282710450548,0.6733801078738635
626.0,5.894811696137233,28.5,280.0,4.68322642391704e-14,1.626288763654076e-14,1.4111362210544096,1.1156300031440232
626.0,5.894811696137233,29.5,300.0,5.166736695882275e-14,1.8824918272040375e-14,1.533592796970004,1.393586377951873
626.0,5.894811696137233,30.5,284.0,4.85907112813748e-14,1.9128284008795284e-14,1.6014730973695257,1.5794294844548444
626.0,5.894811696137233,31.5,292.0,4.252397087873025e-14,1.7533268904381053e-14,1.5614282511576287,1.7725100748186815
626.0,5.894811696137233,32.5,316.0,4.7489397758847717e-14,2.1751014793098782e-14,1.7004048408255694,1.9511812053492334
626.0,5.894811696137233,33.5,324.0,4.647181136197487e-14,2.417023039938759e-14,1.7532218101024721,2.0419710861261384
626.0,5.894811696137233,34.5,324.0,4.465887868658219e-14,2.6578386535285186e-14,1.8303495541438182,2.0767119150628583
626.0,5.894811696137233,35.5,348.0,4.345262782391685e-14,2.978467633808077e-14,1.8391238419703815,2.178398169063631
626.0,5.894811696137233,36.5,352.0,4.4035077634304157e-14,3.11126293293686e-14,1.89145951097408,2.20321085978432
626.0,5.894811696137233,37.5,372.0,4.679325297436156e-14,3.501371700110428e-14,1.9435229424983984,2.2152942823505635
626.0,5.894811696137233,38.5,372.0,4.4142142476110216e-14,3.735959615228676e-14,1.9745578588156796,2.283309324513322
626.0,5.894811696137233,39.5,340.0,3.60799234610537e-14,3.5693849082172376e-14,2.013159435626692,2.3642279417251624
629.0,5.85272746861963,0.5,4.0,8.044086494603662e-15,1.5634938529586863e-15,2.0284049390907617,-1.570796326794897
629.0,5.85272746861963,1.5,12.0,3.060555599052615e-14,3.5038240076043855e-15,2.3578668928707094,-0.5755557927622814
629.0,5.85272746861963,2.5,28.0,8.532659287429439e-14,3.004276610333116e-15,2.422075535297361,-1.3989984804372624
629.0,5.85272746861963,3.5,36.0,9.56990379515987e-14,8.688103120996626e-15,2.39762573122292,-2.5552736359089674
629.0,5.85272746861963,4.5,40.0,8.3952101948986e-14,7.33666923202058e-15,2.32886461158808,2.8674865876320963
629.0,5.85272746861963,5.5,52.0,8.498248951622272e-14,7.644777750881684e-15,2.242502144775524,2.1527042809131682
629.0,5.85272746861963,6.5,68.0,7.794753321788208e-14,7.939579567094512e-15,2.103409170788843,2.236285810396621
629.0,5.85272746861963,7.5,68.0,6.172086817001931e-14,8.820293785140566e-15,2.011348264025556,2.063271617437041
629.0,5.85272746861963,8.5,84.0,6.268858551619804e-14,1.4730838568299834e-14,1.899743659851051,1.6021757083162953
629.0,5.85272746861963,9.5,92.0,5.886201786579045e-14,1.815698338138742e-14,1.8168564126971436,1.350376338573071
629.0,5.85272746861963,10.5,100.0,5.265393995262923e-14,1.722680961522765e-14,1.6469295004176976,1.235989797243338
629.0,5.85272746861963,11.5,108.0,4.3441495314813414e-14,1.8949197093586817e-14,1.4992528876619589,1.0968206503035158
629.0,5.85272746861963,12.5,120.0,3.7948433319406275e-14,2.0737688031163052e-14,1.299322145371577,0.9297932318919222
629.0,5.85272746861963,13.5,124.0,3.359825048574968e-14,2.327433523454106e-14,1.1206173661247725,0.7104565991225338
629.0,5.85272746861963,14.5,156.0,4.099563972718375e-14,3.171626934270568e-14,0.8313053034073479,0.615262876273986
629.0,5.85272746861963,15.5,132.0,3.234381820415445e-14,2.5536914240657637e-14,0.6130994736785732,0.5930480176583766
629.0,5.85272746861963,16.5,172.0,4.435671357902908e-14,2.6103355205772987e-14,0.5176294010810154,0.5296511952967824
629.0,5.85272746861963,17.5,164.0,4.4927895790770855e-14,2.2948474268047785e-14,0.5113164167156461,0.5126275479921362
629.0,5.85272746861963,18.5,188.0,5.1214390140521777e-14,2.3426832751419434e-14,0.47053153977774337,0.40653387212092346
629.0,5.85272746861963,19.5,180.0,4.730602494631337e-14,2.1639990223964633e-14,0.4049734289794358,0.2251961855804787
629.0,5.85272746861963,20.5,200.0,4.996467764991124e-14,1.8483569689489765e-14,0.5377064582178644,0.2572969562619923
629.0,5.85272746861963,21.5,204.0,4.741740755199764e-14,1.8152675403934098e-14,0.6089393974024234,0.19516281098886276
629.0,5.85272746861963,22.5,196.0,4.3044465052147785e-14,1.676141747855162e-14,0.6919018862374865,0.23378730903969122
629.0,5.85272746861963,23.5,228.0,4.7139453318549915e-14,2.0609576123913375e-14,0.6970813978458531,0.18757679759271126
629.0,5.85272746861963,24.5,252.0,4.6998951123593016e-14,1.8678512967796525e-14,0.8899477420630223,0.31191839897200146
629.0,5.85272746861963,25.5,252.0,4.2077543726243654e-14,1.8683384723400333e-14,0.9472336488798913,0.4691550397673219
629.0,5.85272746861963,26.5,244.0,3.843646658132567e-14,1.647977463525073e-14,1.0513636177382726,0.6554178743135488
