snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
626.0,5.8948116,10.5,113871.0,161402.27,214437.28,57414.016,235769.67,94447.625,82807.36
626.0,5.8948116,11.5,110591.0,133090.1,129187.055,320934.1,224769.36,47382.17,93234.67
626.0,5.8948116,12.5,98656.0,108255.836,487060.47,199919.12,361864.38,126533.86,53616.023
626.0,5.8948116,13.5,94434.0,20378.53,586371.5,252444.73,244222.17,221209.8,32694.79
626.0,5.8948116,14.5,85123.0,98679.35,668079.44,323449.75,187921.38,239150.81,117436.805
626.0,5.8948116,15.5,72811.0,42847.156,747656.4,369965.78,63763.766,196105.44,133411.0
626.0,5.8948116,16.5,58548.0,40850.79,529135.44,427967.34,143545.83,182279.64,81761.42
626.0,5.8948116,17.5,44819.0,16368.73,374816.5,360493.06,314059.47,113616.72,137564.78
626.0,5.8948116,18.5,31956.0,51344.926,418572.25,371968.6,255609.42,134431.36,79852.305
626.0,5.8948116,19.5,20445.0,98735.52,357346.6,300561.16,225028.39,155370.36,135246.92
626.0,5.8948116,20.5,12976.0,91823.26,218152.84,175777.17,145044.14,138604.84,65154.824
626.0,5.8948116,21.5,7363.0,45918.195,126270.23,77094.87,78935.945,87499.28,59871.156
629.0,5.8527274,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629.0,5.8527274,1.5,71882.0,61371.496,587290.1,173374.73,150050.7,131953.56,21525.395
629.0,5.8527274,2.5,72602.0,28022.184,130849.76,105947.484,126434.6,68285.234,53020.113
629.0,5.8527274,3.5,75202.0,58680.38,129683.91,32099.285,78535.29,25483.375,32260.941
629.0,5.8527274,4.5,89868.0,61614.625,321198.7,64452.844,114782.195,41967.457,30975.398
629.0,5.8527274,5.5,117688.0,102752.67,623363.2,106105.055,48110.215,28577.266,51917.094
629.0,5.8527274,6.5,125786.0,28225.475,756360.7,139540.34,185395.97,15945.198,39108.492
629.0,5.8527274,7.5,121551.0,89154.555,855932.0,93102.52,83802.76,175457.95,40521.094
629.0,5.8527274,8.5,121251.0,1261.5708,867551.25,55668.613,115858.766,62929.79,73746.78
629.0,5.8527274,9.5,122701.0,29475.521,728786.6,276587.0,43401.555,118726.26,102570.625
629.0,5.8527274,10.5,117505.0,43430.09,445555.53,349713.0,189168.66,91701.305,66191.33
629.0,5.8527274,11.5,110065.0,2381.0054,128592.69,445192.9,276343.28,87682.63,105274.984
629.0,5.8527274,12.5,98388.0,82918.8,342547.06,446846.25,192446.69,132891.8,34186.34
629.0,5.8527274,13.5,86587.0,82733.77,547101.94,394034.2,137659.66,94857.13,133656.19
629.0,5.8527274,14.5,80682.0,43775.383,621091.1,238567.77,146529.81,75042.125,136796.3
629.0,5.8527274,15.5,71539.0,34481.31,600900.9,304245.22,241402.56,44291.277,58318.016
629.0,5.8527274,16.5,58877.0,41442.05,486058.5,362824.25,150291.89,45669.445,94893.97
629.0,5.8527274,17.5,44430.0,42609.91,449564.8,297992.12,115808.26,99652.086,113061.266
629.0,5.8527274,18.5,33430.0,4952.5586,318375.25,265789.06,176592.86,105850.98,99793.7
629.0,5.8527274,19.5,22864.0,35511.543,280086.47,273758.72,226654.95,76112.1,65175.844
629.0,5.8527274,20.5,14282.0,86999.71,263865.8,232525.22,181436.05,105094.586,35112.68
